country,source,year,value,year_tot,value_per
World,        Coal (quad Btu),1980,78.65613402957176,292.8634213204468,26.857616316483373
World,        Natural gas (quad Btu),1980,53.865223303,292.8634213204468,18.392608766275895
World,        Petroleum and other liquids (quad Btu),1980,132.06401937163076,292.8634213204468,45.09406424885281
World,            Nuclear (quad Btu),1980,7.575700462108056,292.8634213204468,2.5867690911863104
World,            Renewables and other (quad Btu),1980,20.70234415413618,292.8634213204468,7.068941577201608
World,        Coal (quad Btu),1981,78.9635811572502,289.3106138863759,27.29370350313605
World,        Natural gas (quad Btu),1981,53.895423471,289.3106138863759,18.628913314658735
World,        Petroleum and other liquids (quad Btu),1981,126.8111321367698,289.3106138863759,43.832174158177864
World,            Nuclear (quad Btu),1981,8.527153469041346,289.3106138863759,2.94740429827103
World,            Renewables and other (quad Btu),1981,21.113323652314552,289.3106138863759,7.297804725756317
World,        Coal (quad Btu),1982,80.42233145882604,289.6318661788106,27.767086722831646
World,        Natural gas (quad Btu),1982,54.055255448,289.6318661788106,18.663435125825483
World,        Petroleum and other liquids (quad Btu),1982,123.92428288938332,289.6318661788106,42.786826092152424
World,            Nuclear (quad Btu),1982,9.50768642751678,289.6318661788106,3.2826796833353282
World,            Renewables and other (quad Btu),1982,21.722309955084427,289.6318661788106,7.499972375855108
World,        Coal (quad Btu),1983,82.63117397819225,293.6619623661284,28.138194443845038
World,        Natural gas (quad Btu),1983,55.149772666,293.6619623661284,18.780019115053452
World,        Petroleum and other liquids (quad Btu),1983,122.21533499685695,293.6619623661284,41.617693354675175
World,            Nuclear (quad Btu),1983,10.718344095623602,293.6619623661284,3.649891872022673
World,            Renewables and other (quad Btu),1983,22.947336629455624,293.6619623661284,7.814201214403658
World,        Coal (quad Btu),1984,86.35602132998221,307.1538335176228,28.114909177920964
World,        Natural gas (quad Btu),1984,60.842896415,307.1538335176228,19.808607210988683
World,        Petroleum and other liquids (quad Btu),1984,123.41709237538814,307.1538335176228,40.18087320023865
World,            Nuclear (quad Btu),1984,12.994607878980151,307.1538335176228,4.230651374316835
World,            Renewables and other (quad Btu),1984,23.543215518272262,307.1538335176228,7.664959036534859
World,        Coal (quad Btu),1985,89.40927570308125,315.3533524140418,28.35209298352146
World,        Natural gas (quad Btu),1985,63.371661785,315.3533524140418,20.095445727748743
World,        Petroleum and other liquids (quad Btu),1985,123.47159748556288,315.3533524140418,39.15341205044536
World,            Nuclear (quad Btu),1985,15.298615144911766,315.3533524140418,4.851261300316071
World,            Renewables and other (quad Btu),1985,23.80220229548592,315.3533524140418,7.547787937968366
World,        Coal (quad Btu),1986,90.43233993374491,322.13955065732347,28.07241139724022
World,        Natural gas (quad Btu),1986,64.224390643,322.13955065732347,19.936822570203066
World,        Petroleum and other liquids (quad Btu),1986,127.00641121864258,322.13955065732347,39.425898173473854
World,            Nuclear (quad Btu),1986,16.247905140338766,322.13955065732347,5.043747378173537
World,            Renewables and other (quad Btu),1986,24.228503721597203,322.13955065732347,7.521120480909318
World,        Coal (quad Btu),1987,94.05052174459549,332.64900163394077,28.273201266989567
World,        Natural gas (quad Btu),1987,67.561969979,332.64900163394077,20.31028791523255
World,        Petroleum and other liquids (quad Btu),1987,129.26577065229108,332.64900163394077,38.859509578369305
World,            Nuclear (quad Btu),1987,17.643888337124533,332.64900163394077,5.304055701492986
World,            Renewables and other (quad Btu),1987,24.12685092092971,332.64900163394077,7.252945537915603
World,        Coal (quad Btu),1988,96.87317779039796,345.48342106670816,28.039891897357666
World,        Natural gas (quad Btu),1988,71.010048252,345.48342106670816,20.553822245001136
World,        Petroleum and other liquids (quad Btu),1988,133.4458139147525,345.48342106670816,38.62582276820338
World,            Nuclear (quad Btu),1988,19.226897009802904,345.48342106670816,5.565215532032853
World,            Renewables and other (quad Btu),1988,24.927484099754743,345.48342106670816,7.215247557404957
World,        Coal (quad Btu),1989,96.9119610015374,351.35600417806864,27.582269791644727
World,        Natural gas (quad Btu),1989,74.229726266,351.35600417806864,21.126642318137268
World,        Petroleum and other liquids (quad Btu),1989,135.03680047363878,351.35600417806864,38.43304194830312
World,            Nuclear (quad Btu),1989,19.73998079757778,351.35600417806864,5.618227826718305
World,            Renewables and other (quad Btu),1989,25.437535639314675,351.35600417806864,7.239818115196582
World,        Coal (quad Btu),1990,95.86821051948635,353.5956531941998,27.11238377889056
World,        Natural gas (quad Btu),1990,75.1232191863526,353.5956531941998,21.245515465964694
World,        Petroleum and other liquids (quad Btu),1990,136.13352935820737,353.5956531941998,38.49977456692344
World,            Nuclear (quad Btu),1990,20.356921439558445,353.5956531941998,5.757118690703511
World,            Renewables and other (quad Btu),1990,26.113772690595034,353.5956531941998,7.3852074975177855
World,        Coal (quad Btu),1991,92.79332773456142,353.8906595786627,26.220903327892252
World,        Natural gas (quad Btu),1991,76.729898462955,353.8906595786627,21.681809447671935
World,        Petroleum and other liquids (quad Btu),1991,136.44086780686322,353.8906595786627,38.55452640917616
World,            Nuclear (quad Btu),1991,21.182969679019,353.8906595786627,5.985738562368148
World,            Renewables and other (quad Btu),1991,26.743595895263997,353.8906595786627,7.557022252891487
World,        Coal (quad Btu),1992,90.33662590324896,352.81346339041494,25.604642474565832
World,        Natural gas (quad Btu),1992,77.11050758932,352.81346339041494,21.855885784038616
World,        Petroleum and other liquids (quad Btu),1992,137.34167892047086,352.81346339041494,38.92756177745174
World,            Nuclear (quad Btu),1992,21.279740377511,352.81346339041494,6.031442273494917
World,            Renewables and other (quad Btu),1992,26.744910599864134,352.81346339041494,7.5804676904488915
