country,index,value
Togo,WMG.new,1.0
Mali,WMG.new,0.0
Guinea-Bissau,WMG.new,0.0
Bangladesh,WMG.new,5.0
Vanuatu,WMG.new,31.4
Djibouti,WMG.new,0.0
Lesotho,WMG.new,0.0
Gambia,WMG.new,0.0
Mauritania,WMG.new,12.5
Ghana,WMG.new,0.0
India,WMG.new,16.1
Burundi,WMG.new,0.0
Haiti,WMG.new,0.9
Solomon Islands,WMG.new,0.0
Chad,WMG.new,0.0
Madagascar,WMG.new,0.6
Guinea,WMG.new,2.5
Cote d'Ivoire,WMG.new,2.1
Sierra Leone,WMG.new,0.0
Afghanistan,WMG.new,0.0
Myanmar,WMG.new,0.0
Liberia,WMG.new,0.0
Denmark,BDH.new,81.7
Luxembourg,BDH.new,85.5
Switzerland,BDH.new,63.0
United Kingdom,BDH.new,88.0
France,BDH.new,88.3
Austria,BDH.new,85.5
Finland,BDH.new,75.5
Sweden,BDH.new,72.5
Norway,BDH.new,71.5
Germany,BDH.new,88.8
Netherlands,BDH.new,83.7
Japan,BDH.new,76.6
Australia,BDH.new,83.7
Spain,BDH.new,87.6
Belgium,BDH.new,87.4
Ireland,BDH.new,65.8
Iceland,BDH.new,63.2
Slovenia,BDH.new,86.4
New Zealand,BDH.new,84.0
Czech Republic,BDH.new,85.7
Italy,BDH.new,75.6
Canada,BDH.new,60.5
Malta,BDH.new,75.1
United States of America,BDH.new,67.5
Greece,BDH.new,72.6
Slovakia,BDH.new,85.0
Portugal,BDH.new,73.0
South Korea,BDH.new,62.6
Israel,BDH.new,47.6
Estonia,BDH.new,87.0
Cyprus,BDH.new,56.5
Romania,BDH.new,85.0
Hungary,BDH.new,82.0
Croatia,BDH.new,82.6
Lithuania,BDH.new,87.5
Latvia,BDH.new,86.7
Poland,BDH.new,89.0
Seychelles,BDH.new,78.9
Singapore,BDH.new,20.9
Taiwan,BDH.new,65.0
Bulgaria,BDH.new,77.7
United Arab Emirates,BDH.new,80.9
North Macedonia,BDH.new,62.1
Chile,BDH.new,65.3
Serbia,BDH.new,57.4
Brunei Darussalam,BDH.new,59.2
Kuwait,BDH.new,66.0
Jordan,BDH.new,32.2
Belarus,BDH.new,61.2
Colombia,BDH.new,76.8
Mexico,BDH.new,72.9
Costa Rica,BDH.new,70.1
Armenia,BDH.new,79.2
Argentina,BDH.new,49.1
Brazil,BDH.new,78.1
Ecuador,BDH.new,77.3
Bahrain,BDH.new,18.9
Russia,BDH.new,54.1
Venezuela,BDH.new,75.1
Ukraine,BDH.new,37.7
Uruguay,BDH.new,25.0
Albania,BDH.new,68.2
Antigua and Barbuda,BDH.new,55.7
Cuba,BDH.new,51.1
Saint Vincent and the Grenadines,BDH.new,47.6
Jamaica,BDH.new,58.2
Iran,BDH.new,38.4
Malaysia,BDH.new,55.1
Trinidad and Tobago,BDH.new,67.8
Panama,BDH.new,60.4
Tunisia,BDH.new,37.1
Azerbaijan,BDH.new,56.9
Paraguay,BDH.new,62.8
Montenegro,BDH.new,36.6
Dominican Republic,BDH.new,81.6
Gabon,BDH.new,86.0
Barbados,BDH.new,12.6
Thailand,BDH.new,53.0
Bosnia and Herzegovina,BDH.new,32.9
Lebanon,BDH.new,21.8
Suriname,BDH.new,63.6
Tonga,BDH.new,37.3
Mauritius,BDH.new,19.3
Algeria,BDH.new,39.0
Kazakhstan,BDH.new,41.6
Dominica,BDH.new,56.3
Moldova,BDH.new,27.9
Uzbekistan,BDH.new,37.6
Bolivia,BDH.new,83.6
Peru,BDH.new,59.5
Saudi Arabia,BDH.new,38.8
Turkmenistan,BDH.new,39.7
Bahamas,BDH.new,78.8
Egypt,BDH.new,50.6
El Salvador,BDH.new,35.8
Grenada,BDH.new,31.5
South Africa,BDH.new,63.2
Saint Lucia,BDH.new,36.9
Turkey,BDH.new,15.1
Morocco,BDH.new,67.4
Belize,BDH.new,87.9
Georgia,BDH.new,46.2
Botswana,BDH.new,91.6
Namibia,BDH.new,76.6
Kyrgyzstan,BDH.new,39.2
Iraq,BDH.new,40.5
Bhutan,BDH.new,87.2
Nicaragua,BDH.new,59.6
Sri Lanka,BDH.new,61.1
Oman,BDH.new,28.2
Philippines,BDH.new,56.6
Malawi,BDH.new,84.2
Burkina Faso,BDH.new,77.8
Tajikistan,BDH.new,65.8
Equatorial Guinea,BDH.new,66.0
Indonesia,BDH.new,56.3
Honduras,BDH.new,59.9
Kiribati,BDH.new,82.1
Sao Tome and Principe,BDH.new,58.4
China,BDH.new,19.0
Samoa,BDH.new,29.9
Qatar,BDH.new,41.3
Zimbabwe,BDH.new,87.0
Central African Republic,BDH.new,84.7
Dem. Rep. Congo,BDH.new,73.3
Guyana,BDH.new,51.0
Maldives,BDH.new,6.5
Uganda,BDH.new,81.4
Timor-Leste,BDH.new,64.5
Sudan,BDH.new,46.6
Laos,BDH.new,69.7
Zambia,BDH.new,90.4
Kenya,BDH.new,53.5
Ethiopia,BDH.new,72.2
Fiji,BDH.new,25.1
Mozambique,BDH.new,67.4
Eswatini,BDH.new,38.4
Rwanda,BDH.new,57.4
Cambodia,BDH.new,60.1
Cameroon,BDH.new,48.6
Viet Nam,BDH.new,33.3
Pakistan,BDH.new,46.1
Micronesia,BDH.new,6.9
Cabo Verde,BDH.new,14.3
Nepal,BDH.new,62.6
Papua New Guinea,BDH.new,27.3
Mongolia,BDH.new,73.1
Comoros,BDH.new,36.3
Guatemala,BDH.new,41.3
Tanzania,BDH.new,70.7
Nigeria,BDH.new,53.6
Niger,BDH.new,77.6
Marshall Islands,BDH.new,11.4
Republic of Congo,BDH.new,71.7
Senegal,BDH.new,68.7
Eritrea,BDH.new,33.7
Benin,BDH.new,67.0
Angola,BDH.new,39.3
Togo,BDH.new,64.2
Mali,BDH.new,59.6
Guinea-Bissau,BDH.new,72.2
Bangladesh,BDH.new,46.8
Vanuatu,BDH.new,30.0
Djibouti,BDH.new,23.0
Lesotho,BDH.new,22.5
Gambia,BDH.new,32.6
Mauritania,BDH.new,19.2
Ghana,BDH.new,58.9
India,BDH.new,33.7
Burundi,BDH.new,52.3
Haiti,BDH.new,34.5
Solomon Islands,BDH.new,15.3
Chad,BDH.new,69.0
Madagascar,BDH.new,25.0
Guinea,BDH.new,59.9
Cote d'Ivoire,BDH.new,62.0
Sierra Leone,BDH.new,52.9
Afghanistan,BDH.new,21.9
Myanmar,BDH.new,31.0
Liberia,BDH.new,32.6
Denmark,ECS.new,30.2
Luxembourg,ECS.new,34.3
Switzerland,ECS.new,46.4
United Kingdom,ECS.new,28.3
France,ECS.new,36.1
Austria,ECS.new,35.6
Finland,ECS.new,20.8
Sweden,ECS.new,22.4
Norway,ECS.new,32.1
Germany,ECS.new,39.7
Netherlands,ECS.new,42.8
Japan,ECS.new,41.7
Australia,ECS.new,27.9
Spain,ECS.new,24.4
Belgium,ECS.new,32.5
Ireland,ECS.new,27.4
Iceland,ECS.new,100.0
Slovenia,ECS.new,37.1
New Zealand,ECS.new,28.2
Czech Republic,ECS.new,26.7
Italy,ECS.new,37.9
Canada,ECS.new,30.1
Malta,ECS.new,100.0
United States of America,ECS.new,26.8
Greece,ECS.new,43.9
Slovakia,ECS.new,32.1
Portugal,ECS.new,7.4
South Korea,ECS.new,32.2
Israel,ECS.new,40.6
Estonia,ECS.new,22.4
Cyprus,ECS.new,38.6
Romania,ECS.new,40.9
Hungary,ECS.new,28.2
Croatia,ECS.new,40.3
Lithuania,ECS.new,24.6
Latvia,ECS.new,21.4
Poland,ECS.new,27.1
Seychelles,ECS.new,84.3
Singapore,ECS.new,18.4
Taiwan,ECS.new,49.2
Bulgaria,ECS.new,41.4
United Arab Emirates,ECS.new,100.0
North Macedonia,ECS.new,42.3
Chile,ECS.new,27.5
Serbia,ECS.new,45.8
Brunei Darussalam,ECS.new,34.4
Kuwait,ECS.new,48.4
Jordan,ECS.new,78.9
Belarus,ECS.new,27.9
Colombia,ECS.new,36.4
Mexico,ECS.new,32.5
Costa Rica,ECS.new,35.4
Armenia,ECS.new,81.5
Argentina,ECS.new,29.4
Brazil,ECS.new,27.9
Ecuador,ECS.new,38.3
Bahrain,ECS.new,100.0
Russia,ECS.new,28.6
Venezuela,ECS.new,40.6
Ukraine,ECS.new,30.2
Uruguay,ECS.new,21.0
Albania,ECS.new,43.2
Antigua and Barbuda,ECS.new,38.8
Cuba,ECS.new,25.2
Saint Vincent and the Grenadines,ECS.new,56.5
Jamaica,ECS.new,35.2
Iran,ECS.new,88.8
Malaysia,ECS.new,12.8
Trinidad and Tobago,ECS.new,35.9
Panama,ECS.new,33.1
Tunisia,ECS.new,22.5
Azerbaijan,ECS.new,80.5
Paraguay,ECS.new,20.2
Montenegro,ECS.new,44.3
Dominican Republic,ECS.new,26.6
Gabon,ECS.new,44.7
Barbados,ECS.new,37.1
Thailand,ECS.new,24.3
Bosnia and Herzegovina,ECS.new,53.4
Lebanon,ECS.new,36.6
Suriname,ECS.new,51.3
Tonga,ECS.new,
Mauritius,ECS.new,49.5
Algeria,ECS.new,24.0
Kazakhstan,ECS.new,68.4
Dominica,ECS.new,5.3
Moldova,ECS.new,45.8
Uzbekistan,ECS.new,70.4
Bolivia,ECS.new,30.0
Peru,ECS.new,37.0
Saudi Arabia,ECS.new,96.9
Turkmenistan,ECS.new,96.2
Bahamas,ECS.new,31.6
Egypt,ECS.new,62.5
El Salvador,ECS.new,33.5
Grenada,ECS.new,43.6
South Africa,ECS.new,20.6
Saint Lucia,ECS.new,50.7
Turkey,ECS.new,37.1
Morocco,ECS.new,40.8
Belize,ECS.new,23.5
Georgia,ECS.new,78.0
Botswana,ECS.new,66.1
Namibia,ECS.new,55.1
Kyrgyzstan,ECS.new,91.1
Iraq,ECS.new,91.8
Bhutan,ECS.new,60.2
Nicaragua,ECS.new,20.1
Sri Lanka,ECS.new,37.8
Oman,ECS.new,67.0
Philippines,ECS.new,31.9
Malawi,ECS.new,22.8
Burkina Faso,ECS.new,95.5
Tajikistan,ECS.new,97.6
Equatorial Guinea,ECS.new,33.7
Indonesia,ECS.new,20.3
Honduras,ECS.new,21.2
Kiribati,ECS.new,
Sao Tome and Principe,ECS.new,100.0
China,ECS.new,34.3
Samoa,ECS.new,
Qatar,ECS.new,0.0
Zimbabwe,ECS.new,23.1
Central African Republic,ECS.new,50.7
Dem. Rep. Congo,ECS.new,27.7
Guyana,ECS.new,52.3
Maldives,ECS.new,78.2
Uganda,ECS.new,24.4
Timor-Leste,ECS.new,43.8
Sudan,ECS.new,59.9
Laos,ECS.new,16.6
Zambia,ECS.new,31.1
Kenya,ECS.new,31.1
Ethiopia,ECS.new,42.2
Fiji,ECS.new,38.1
Mozambique,ECS.new,24.5
Eswatini,ECS.new,24.0
Rwanda,ECS.new,28.4
Cambodia,ECS.new,19.0
Cameroon,ECS.new,31.5
Viet Nam,ECS.new,16.4
Pakistan,ECS.new,80.9
Micronesia,ECS.new,100.0
Cabo Verde,ECS.new,93.7
Nepal,ECS.new,67.8
Papua New Guinea,ECS.new,34.2
Mongolia,ECS.new,41.7
Comoros,ECS.new,35.7
Guatemala,ECS.new,19.5
Tanzania,ECS.new,28.3
Nigeria,ECS.new,23.4
Niger,ECS.new,97.7
Marshall Islands,ECS.new,
Republic of Congo,ECS.new,35.8
Senegal,ECS.new,25.8
Eritrea,ECS.new,97.1
Benin,ECS.new,24.4
Angola,ECS.new,33.7
Togo,ECS.new,28.1
Mali,ECS.new,23.4
Guinea-Bissau,ECS.new,22.1
Bangladesh,ECS.new,22.8
Vanuatu,ECS.new,49.7
Djibouti,ECS.new,73.9
Lesotho,ECS.new,47.3
Gambia,ECS.new,41.1
Mauritania,ECS.new,97.2
Ghana,ECS.new,15.4
India,ECS.new,33.8
Burundi,ECS.new,34.7
Haiti,ECS.new,26.2
Solomon Islands,ECS.new,25.5
Chad,ECS.new,22.2
Madagascar,ECS.new,14.6
Guinea,ECS.new,11.5
Cote d'Ivoire,ECS.new,15.7
Sierra Leone,ECS.new,9.6
Afghanistan,ECS.new,93.6
Myanmar,ECS.new,25.9
Liberia,ECS.new,14.6
Denmark,FSH.new,13.2
Luxembourg,FSH.new,
Switzerland,FSH.new,
United Kingdom,FSH.new,8.8
France,FSH.new,12.1
Austria,FSH.new,
Finland,FSH.new,12.8
Sweden,FSH.new,11.6
Norway,FSH.new,9.8
Germany,FSH.new,14.0
Netherlands,FSH.new,13.1
Japan,FSH.new,35.2
Australia,FSH.new,3.4
Spain,FSH.new,17.9
Belgium,FSH.new,9.0
Ireland,FSH.new,9.1
Iceland,FSH.new,10.1
Slovenia,FSH.new,
New Zealand,FSH.new,5.4
Czech Republic,FSH.new,
Italy,FSH.new,14.9
Canada,FSH.new,11.0
Malta,FSH.new,12.2
United States of America,FSH.new,6.6
Greece,FSH.new,15.7
Slovakia,FSH.new,
Portugal,FSH.new,33.1
South Korea,FSH.new,12.6
Israel,FSH.new,45.5
Estonia,FSH.new,16.4
Cyprus,FSH.new,20.2
Romania,FSH.new,54.5
Hungary,FSH.new,
Croatia,FSH.new,11.8
Lithuania,FSH.new,14.5
Latvia,FSH.new,7.3
Poland,FSH.new,8.0
Seychelles,FSH.new,18.1
Singapore,FSH.new,71.4
Taiwan,FSH.new,13.8
Bulgaria,FSH.new,12.9
United Arab Emirates,FSH.new,14.5
North Macedonia,FSH.new,
Chile,FSH.new,16.6
Serbia,FSH.new,
Brunei Darussalam,FSH.new,9.3
Kuwait,FSH.new,14.9
Jordan,FSH.new,
Belarus,FSH.new,
Colombia,FSH.new,15.8
Mexico,FSH.new,12.8
Costa Rica,FSH.new,10.8
Armenia,FSH.new,
Argentina,FSH.new,3.2
Brazil,FSH.new,8.3
Ecuador,FSH.new,13.5
Bahrain,FSH.new,0.0
Russia,FSH.new,4.3
Venezuela,FSH.new,12.3
Ukraine,FSH.new,12.4
Uruguay,FSH.new,6.5
Albania,FSH.new,8.9
Antigua and Barbuda,FSH.new,5.0
Cuba,FSH.new,10.0
Saint Vincent and the Grenadines,FSH.new,18.5
Jamaica,FSH.new,4.7
Iran,FSH.new,13.8
Malaysia,FSH.new,8.6
Trinidad and Tobago,FSH.new,11.8
Panama,FSH.new,9.1
Tunisia,FSH.new,18.3
Azerbaijan,FSH.new,
Paraguay,FSH.new,
Montenegro,FSH.new,6.6
Dominican Republic,FSH.new,21.8
Gabon,FSH.new,7.3
Barbados,FSH.new,18.4
Thailand,FSH.new,11.1
Bosnia and Herzegovina,FSH.new,
Lebanon,FSH.new,14.2
Suriname,FSH.new,16.8
Tonga,FSH.new,44.7
Mauritius,FSH.new,15.0
Algeria,FSH.new,8.1
Kazakhstan,FSH.new,
Dominica,FSH.new,31.0
Moldova,FSH.new,
Uzbekistan,FSH.new,
Bolivia,FSH.new,
Peru,FSH.new,18.7
Saudi Arabia,FSH.new,18.5
Turkmenistan,FSH.new,
Bahamas,FSH.new,9.9
Egypt,FSH.new,12.1
El Salvador,FSH.new,5.5
Grenada,FSH.new,15.8
South Africa,FSH.new,7.8
Saint Lucia,FSH.new,16.2
Turkey,FSH.new,10.8
Morocco,FSH.new,16.7
Belize,FSH.new,19.8
Georgia,FSH.new,4.4
Botswana,FSH.new,
Namibia,FSH.new,8.6
Kyrgyzstan,FSH.new,
Iraq,FSH.new,
Bhutan,FSH.new,
Nicaragua,FSH.new,12.3
Sri Lanka,FSH.new,11.3
Oman,FSH.new,24.5
Philippines,FSH.new,12.3
Malawi,FSH.new,
Burkina Faso,FSH.new,
Tajikistan,FSH.new,
Equatorial Guinea,FSH.new,14.3
Indonesia,FSH.new,11.9
Honduras,FSH.new,17.6
Kiribati,FSH.new,55.4
Sao Tome and Principe,FSH.new,17.2
China,FSH.new,18.0
Samoa,FSH.new,54.3
Qatar,FSH.new,6.4
Zimbabwe,FSH.new,
Central African Republic,FSH.new,
Dem. Rep. Congo,FSH.new,
Guyana,FSH.new,7.7
Maldives,FSH.new,46.6
Uganda,FSH.new,
Timor-Leste,FSH.new,46.8
Sudan,FSH.new,9.1
Laos,FSH.new,
Zambia,FSH.new,
Kenya,FSH.new,8.6
Ethiopia,FSH.new,
Fiji,FSH.new,59.7
Mozambique,FSH.new,16.3
Eswatini,FSH.new,
Rwanda,FSH.new,
Cambodia,FSH.new,11.3
Cameroon,FSH.new,10.5
Viet Nam,FSH.new,14.6
Pakistan,FSH.new,7.6
Micronesia,FSH.new,32.7
Cabo Verde,FSH.new,20.7
Nepal,FSH.new,
Papua New Guinea,FSH.new,13.1
Mongolia,FSH.new,
Comoros,FSH.new,18.6
Guatemala,FSH.new,15.4
Tanzania,FSH.new,13.0
Nigeria,FSH.new,10.9
Niger,FSH.new,
Marshall Islands,FSH.new,53.5
Republic of Congo,FSH.new,11.4
Senegal,FSH.new,12.8
Eritrea,FSH.new,9.0
Benin,FSH.new,11.7
Angola,FSH.new,14.7
Togo,FSH.new,11.1
Mali,FSH.new,
Guinea-Bissau,FSH.new,5.2
Bangladesh,FSH.new,19.6
Vanuatu,FSH.new,26.4
Djibouti,FSH.new,6.2
Lesotho,FSH.new,
Gambia,FSH.new,10.6
Mauritania,FSH.new,7.8
Ghana,FSH.new,9.0
India,FSH.new,16.9
Burundi,FSH.new,
Haiti,FSH.new,16.7
Solomon Islands,FSH.new,31.8
Chad,FSH.new,
Madagascar,FSH.new,11.8
Guinea,FSH.new,14.4
Cote d'Ivoire,FSH.new,16.9
Sierra Leone,FSH.new,18.7
Afghanistan,FSH.new,
Myanmar,FSH.new,9.4
Liberia,FSH.new,10.6
Denmark,CCH.new,95.0
Luxembourg,CCH.new,77.5
Switzerland,CCH.new,81.6
United Kingdom,CCH.new,90.0
France,CCH.new,81.9
Austria,CCH.new,71.3
Finland,CCH.new,77.0
Sweden,CCH.new,77.2
Norway,CCH.new,78.9
Germany,CCH.new,71.5
Netherlands,CCH.new,65.8
Japan,CCH.new,69.5
Australia,CCH.new,70.4
Spain,CCH.new,71.2
Belgium,CCH.new,70.2
Ireland,CCH.new,66.6
Iceland,CCH.new,60.8
Slovenia,CCH.new,75.2
New Zealand,CCH.new,61.5
Czech Republic,CCH.new,76.3
Italy,CCH.new,68.1
Canada,CCH.new,65.7
Malta,CCH.new,62.6
United States of America,CCH.new,71.4
Greece,CCH.new,66.5
Slovakia,CCH.new,71.9
Portugal,CCH.new,63.3
South Korea,CCH.new,62.6
Israel,CCH.new,56.9
Estonia,CCH.new,59.0
Cyprus,CCH.new,63.1
Romania,CCH.new,84.6
Hungary,CCH.new,71.3
Croatia,CCH.new,70.0
Lithuania,CCH.new,65.9
Latvia,CCH.new,67.7
Poland,CCH.new,65.4
Seychelles,CCH.new,70.7
Singapore,CCH.new,40.2
Taiwan,CCH.new,63.1
Bulgaria,CCH.new,69.5
United Arab Emirates,CCH.new,38.9
North Macedonia,CCH.new,75.2
Chile,CCH.new,54.3
Serbia,CCH.new,68.1
Brunei Darussalam,CCH.new,50.9
Kuwait,CCH.new,49.7
Jordan,CCH.new,58.4
Belarus,CCH.new,53.1
Colombia,CCH.new,55.4
Mexico,CCH.new,65.2
Costa Rica,CCH.new,54.8
Armenia,CCH.new,46.7
Argentina,CCH.new,60.2
Brazil,CCH.new,51.7
Ecuador,CCH.new,60.2
Bahrain,CCH.new,67.1
Russia,CCH.new,59.9
Venezuela,CCH.new,63.3
Ukraine,CCH.new,69.2
Uruguay,CCH.new,55.5
Albania,CCH.new,56.8
Antigua and Barbuda,CCH.new,58.5
Cuba,CCH.new,64.2
Saint Vincent and the Grenadines,CCH.new,70.2
Jamaica,CCH.new,65.7
Iran,CCH.new,55.0
Malaysia,CCH.new,52.8
Trinidad and Tobago,CCH.new,42.1
Panama,CCH.new,50.3
Tunisia,CCH.new,60.2
Azerbaijan,CCH.new,48.6
Paraguay,CCH.new,40.9
Montenegro,CCH.new,65.6
Dominican Republic,CCH.new,56.1
Gabon,CCH.new,63.8
Barbados,CCH.new,59.1
Thailand,CCH.new,52.5
Bosnia and Herzegovina,CCH.new,57.5
Lebanon,CCH.new,56.8
Suriname,CCH.new,52.8
Tonga,CCH.new,56.6
Mauritius,CCH.new,51.0
Algeria,CCH.new,52.5
Kazakhstan,CCH.new,44.6
Dominica,CCH.new,55.1
Moldova,CCH.new,52.2
Uzbekistan,CCH.new,65.9
Bolivia,CCH.new,40.0
Peru,CCH.new,41.3
Saudi Arabia,CCH.new,37.5
Turkmenistan,CCH.new,36.4
Bahamas,CCH.new,28.7
Egypt,CCH.new,55.0
El Salvador,CCH.new,62.8
Grenada,CCH.new,59.0
South Africa,CCH.new,62.8
Saint Lucia,CCH.new,54.8
Turkey,CCH.new,49.3
Morocco,CCH.new,48.7
Belize,CCH.new,37.7
Georgia,CCH.new,50.1
Botswana,CCH.new,37.9
Namibia,CCH.new,55.4
Kyrgyzstan,CCH.new,42.5
Iraq,CCH.new,31.6
Bhutan,CCH.new,24.7
Nicaragua,CCH.new,38.0
Sri Lanka,CCH.new,31.0
Oman,CCH.new,32.0
Philippines,CCH.new,42.8
Malawi,CCH.new,34.2
Burkina Faso,CCH.new,31.9
Tajikistan,CCH.new,36.9
Equatorial Guinea,CCH.new,46.1
Indonesia,CCH.new,54.4
Honduras,CCH.new,43.1
Kiribati,CCH.new,32.2
Sao Tome and Principe,CCH.new,35.0
China,CCH.new,46.3
Samoa,CCH.new,35.0
Qatar,CCH.new,12.1
Zimbabwe,CCH.new,37.0
Central African Republic,CCH.new,45.4
Dem. Rep. Congo,CCH.new,40.1
Guyana,CCH.new,38.2
Maldives,CCH.new,27.7
Uganda,CCH.new,27.4
Timor-Leste,CCH.new,23.4
Sudan,CCH.new,52.8
Laos,CCH.new,30.7
Zambia,CCH.new,26.5
Kenya,CCH.new,49.0
Ethiopia,CCH.new,26.1
Fiji,CCH.new,36.9
Mozambique,CCH.new,31.1
Eswatini,CCH.new,56.9
Rwanda,CCH.new,35.9
Cambodia,CCH.new,30.9
Cameroon,CCH.new,66.4
Viet Nam,CCH.new,30.7
Pakistan,CCH.new,50.6
Micronesia,CCH.new,39.0
Cabo Verde,CCH.new,39.5
Nepal,CCH.new,23.7
Papua New Guinea,CCH.new,47.6
Mongolia,CCH.new,16.6
Comoros,CCH.new,41.7
Guatemala,CCH.new,36.7
Tanzania,CCH.new,18.7
Nigeria,CCH.new,50.8
Niger,CCH.new,12.5
Marshall Islands,CCH.new,39.6
Republic of Congo,CCH.new,37.1
Senegal,CCH.new,30.3
Eritrea,CCH.new,43.4
Benin,CCH.new,30.7
Angola,CCH.new,49.0
Togo,CCH.new,34.4
Mali,CCH.new,26.3
Guinea-Bissau,CCH.new,33.6
Bangladesh,CCH.new,35.6
Vanuatu,CCH.new,32.0
Djibouti,CCH.new,40.1
Lesotho,CCH.new,52.4
Gambia,CCH.new,35.8
Mauritania,CCH.new,32.6
Ghana,CCH.new,29.6
India,CCH.new,45.0
Burundi,CCH.new,16.8
Haiti,CCH.new,37.0
Solomon Islands,CCH.new,45.0
Chad,CCH.new,17.4
Madagascar,CCH.new,39.9
Guinea,CCH.new,26.8
Cote d'Ivoire,CCH.new,20.2
Sierra Leone,CCH.new,24.9
Afghanistan,CCH.new,22.2
Myanmar,CCH.new,22.2
Liberia,CCH.new,24.9
Denmark,APE.new,100.0
Luxembourg,APE.new,100.0
Switzerland,APE.new,100.0
United Kingdom,APE.new,100.0
France,APE.new,100.0
Austria,APE.new,100.0
Finland,APE.new,93.1
Sweden,APE.new,100.0
Norway,APE.new,99.2
Germany,APE.new,96.0
Netherlands,APE.new,100.0
Japan,APE.new,77.7
Australia,APE.new,90.3
Spain,APE.new,100.0
Belgium,APE.new,100.0
Ireland,APE.new,100.0
Iceland,APE.new,44.4
Slovenia,APE.new,90.0
New Zealand,APE.new,87.4
Czech Republic,APE.new,100.0
Italy,APE.new,81.4
Canada,APE.new,100.0
Malta,APE.new,80.8
United States of America,APE.new,100.0
Greece,APE.new,78.9
Slovakia,APE.new,100.0
Portugal,APE.new,93.5
South Korea,APE.new,100.0
Israel,APE.new,97.8
Estonia,APE.new,96.6
Cyprus,APE.new,91.5
Romania,APE.new,100.0
Hungary,APE.new,96.9
Croatia,APE.new,90.8
Lithuania,APE.new,96.6
Latvia,APE.new,94.8
Poland,APE.new,89.6
Seychelles,APE.new,86.3
Singapore,APE.new,79.5
Taiwan,APE.new,100.0
Bulgaria,APE.new,100.0
United Arab Emirates,APE.new,83.4
North Macedonia,APE.new,100.0
Chile,APE.new,34.6
Serbia,APE.new,89.0
Brunei Darussalam,APE.new,41.8
Kuwait,APE.new,81.7
Jordan,APE.new,69.0
Belarus,APE.new,80.4
Colombia,APE.new,52.5
Mexico,APE.new,71.4
Costa Rica,APE.new,33.6
Armenia,APE.new,46.8
Argentina,APE.new,59.3
Brazil,APE.new,54.0
Ecuador,APE.new,28.4
Bahrain,APE.new,93.1
Russia,APE.new,81.0
Venezuela,APE.new,41.4
Ukraine,APE.new,76.6
Uruguay,APE.new,36.4
Albania,APE.new,100.0
Antigua and Barbuda,APE.new,36.6
Cuba,APE.new,76.1
Saint Vincent and the Grenadines,APE.new,38.9
Jamaica,APE.new,78.6
Iran,APE.new,80.8
Malaysia,APE.new,41.2
Trinidad and Tobago,APE.new,77.9
Panama,APE.new,66.1
Tunisia,APE.new,84.2
Azerbaijan,APE.new,100.0
Paraguay,APE.new,70.5
Montenegro,APE.new,85.2
Dominican Republic,APE.new,79.3
Gabon,APE.new,90.2
Barbados,APE.new,53.3
Thailand,APE.new,78.7
Bosnia and Herzegovina,APE.new,78.1
Lebanon,APE.new,67.1
Suriname,APE.new,82.4
Tonga,APE.new,65.5
Mauritius,APE.new,49.2
Algeria,APE.new,61.7
Kazakhstan,APE.new,75.2
Dominica,APE.new,47.3
Moldova,APE.new,76.1
Uzbekistan,APE.new,70.9
Bolivia,APE.new,26.4
Peru,APE.new,41.0
Saudi Arabia,APE.new,34.7
Turkmenistan,APE.new,44.8
Bahamas,APE.new,18.0
Egypt,APE.new,56.3
El Salvador,APE.new,86.3
Grenada,APE.new,40.0
South Africa,APE.new,69.7
Saint Lucia,APE.new,36.7
Turkey,APE.new,84.0
Morocco,APE.new,80.5
Belize,APE.new,11.4
Georgia,APE.new,0.9
Botswana,APE.new,70.0
Namibia,APE.new,68.2
Kyrgyzstan,APE.new,18.1
Iraq,APE.new,14.1
Bhutan,APE.new,18.2
Nicaragua,APE.new,80.2
Sri Lanka,APE.new,53.1
Oman,APE.new,60.0
Philippines,APE.new,68.4
Malawi,APE.new,53.1
Burkina Faso,APE.new,40.6
Tajikistan,APE.new,29.8
Equatorial Guinea,APE.new,76.4
Indonesia,APE.new,40.4
Honduras,APE.new,60.9
Kiribati,APE.new,49.9
Sao Tome and Principe,APE.new,47.1
China,APE.new,58.6
Samoa,APE.new,44.0
Qatar,APE.new,64.4
Zimbabwe,APE.new,41.0
Central African Republic,APE.new,51.8
Dem. Rep. Congo,APE.new,47.8
Guyana,APE.new,28.6
Maldives,APE.new,26.7
Uganda,APE.new,44.4
Timor-Leste,APE.new,64.7
Sudan,APE.new,64.8
Laos,APE.new,21.3
Zambia,APE.new,22.5
Kenya,APE.new,36.8
Ethiopia,APE.new,23.6
Fiji,APE.new,53.2
Mozambique,APE.new,54.1
Eswatini,APE.new,60.5
Rwanda,APE.new,50.5
Cambodia,APE.new,45.4
Cameroon,APE.new,39.8
Viet Nam,APE.new,45.7
Pakistan,APE.new,58.8
Micronesia,APE.new,58.8
Cabo Verde,APE.new,35.1
Nepal,APE.new,44.4
Papua New Guinea,APE.new,58.2
Mongolia,APE.new,34.9
Comoros,APE.new,44.5
Guatemala,APE.new,44.8
Tanzania,APE.new,40.1
Nigeria,APE.new,66.3
Niger,APE.new,0.9
Marshall Islands,APE.new,50.6
Republic of Congo,APE.new,0.0
Senegal,APE.new,49.5
Eritrea,APE.new,57.1
Benin,APE.new,33.4
